Company,NET Income,Operating Income,Total Assets,Number of Employees,Buyers
INU,37828,65551,292668,364,[UAU;XLJ;ZIF;EMI]
RFY,70121,156735,643153,1053,[EMI;QSV]
NQL,55395,111130,471830,696,[QSV;AIE;XJY;IPT;NOE;OYV]
WIQ,87687,219960,872730,1573,[OYV;WOG;RGH;DHK;PAA]
BKH,15254,21076,102713,89,[PAA;AWK;LTI;HTS;EXY]
KDM,47546,89579,388391,535,[QLO]
GNY,32820,54316,246618,288,[EXY;NQO]
ZXI,97405,259062,1011522,1905,[NQO;BBU;PTF]
UIV,82680,200960,804495,1414,[PTF;QXY;BDE;CJJ]
EAZ,24972,38279,178935,187,[CJJ;NPP]
NSE,57264,116545,492508,737,[NPP;BTE;CBL;BNQ]
JCR,42539,76832,338022,443,[BNQ;PJD]
SUW,74831,172746,702019,1182,[WIH;PJD;OEQ;HDO;TQC]
OFI,60105,124983,524531,802,[TQC;EPW;XMO;BWX]
XXN,92398,238548,938961,1730,[BWX;ANP;WYN;VEA;UEA;EKQ]
CZE,19964,29047,138607,132,[EKQ;IIU;WTV;XIK;ZEN]
MRJ,52257,102284,437814,629,[ZEN;XQA;BHB;EWK;MDZ]
RUA,69823,155746,639497,1045,[MDZ;NLU]
AMF,12116,16149,79893,64,[NLU;LZD;MNV]
FOX,29683,47676,218906,245,[MNV;SJV;VER;KOK]
PGB,61975,130674,546001,846,[KOK;DRW]
KRO,47249,88801,385341,529,[YJW;DRW;RGK;NVT;OXQ]
UJT,79542,189450,762868,1319,[OXQ;VDY;IFR;TYC]
ZLK,97108,257824,1007155,1895,[VIX]
IDP,39401,69241,307592,390,[TYC;JTI]
EOC,24675,37710,176481,183,[JTI;AGJ;DOJ;KLB]
NGG,56967,115677,489201,730,[IIS;KLB;NHJ;HTH;XAI]
BAD,16826,23660,114474,103,[XAI;GEK;PUZ;AET]
HDU,34393,57761,260841,311,[AET;CUF;XAZ;JLK]
VXQ,84252,206842,825679,1463,[JLK;HQP]
EQV,26545,41340,192061,205,[HQP;KQO;MPC;IQS]
AAH,11819,15699,77779,62,[IQS;XYY]
OVE,61678,129763,542569,839,[XYY;JQQ;UON;IPL;VXT;XJY]
YNI,93970,244905,961504,1784,[XJY;JRI]
DPA,21537,31863,151034,149,[JRI;VZP;NGY;JCO;IBZ;OAF]
MHF,53829,106678,454746,662,[FTZ;OAF;BDD;JOP]
ISR,39103,68536,304749,385,[JOP;OGQ;SCC;QEW]
RKW,71396,161001,658894,1087,[QEW;WQW;LKN;TFA]
GES,31255,50965,232683,266,[TFA;FZV]
BPF,16529,23166,112235,100,[FZV;KVJ;UKP;AFE]
LHJ,48822,92952,401581,560,[LAF;AFE;YHQ;IZG;NNN]
UZO,81114,195178,783613,1366,[NNN;AZC;LFF;HDO]
ZBG,98681,264414,1030366,1951,[ZNE]
JGO,43814,80004,350637,465,[HDO;TDG]
TYT,76106,177199,718294,1219,[TDG;LIA;AAE;CHE;DXA;SWL]
CQY,18399,26322,126461,117,[SWL;ZFL;ZGR;BPJ;AVL]
YBL,93673,243698,957228,1774,[AVL;RNF;DYD;XQW]
HTP,35966,61283,275285,335,[LYV]
MVH,53532,105842,451530,656,[XQW;MFM]
VNM,85825,212803,847093,1513,[CNR;MFM;GTR;EJO;BEL]
RYY,71099,160003,655214,1079,[BEL;LOU;QCB;FAP]
AQD,13391,18114,89060,74,[FAP;PXR]
PKZ,63250,134617,560818,877,[PXR;YYE;XIQ;DRW]
YDE,95543,251342,984276,1839,[DRW;IUW;LDJ;KUU;XPU;BRA]
UNQ,80817,194090,779677,1357,[BRA;CEM;FRH;JYO;IGE]
IIN,40676,72288,319851,411,[IGE;LGY]
SAR,72968,166331,678501,1130,[IZU;LGY;TWY]
NKE,58243,119424,503460,759,[TWY;QWS;HKM]
XCJ,90535,231115,912534,1667,[HKM;ADU]
CFA,18102,25814,124181,114,[ADU;AEY;FGL;YLY;FRA;FUE]
LXF,50394,97177,418034,591,[FUE;NCH;DJJ;RQA;PGW]
ARB,10253,13369,66760,51,[PGW;ANQ;YYK;NGP]
VCO,85527,211668,843022,1504,[NGP;HMG]
FUS,27820,43877,202863,221,[NIL;HMG;SZE;JNY;GMN]
KWK,45386,83985,366390,494,[GMN;MNQ;WYC;FHN]
TOP,77679,182762,738570,1264,[FHN;CKZ]
PZB,62953,133694,557354,870,[CKZ;PJU;YZB]
YRG,95246,250120,979958,1829,[YZB;OHJ;BWR;UBT]
HJL,37538,64879,289941,359,[UBT;AJF]
DTX,22812,34202,161268,162,[AJF;VBE;UBQ;OBZ]
NLC,55105,110300,468650,689,[ZLE;OBZ;CVT]
SOU,72671,165318,674780,1122,[CVT;BIL;ZVY;XSN;MBM;QYR]
BGY,14964,20608,100567,87,[QYR;UCT;OIP;MDY;QPA]
GIQ,32530,53690,244019,284,[QPA;AGG;TXB;WLQ]
PAV,64823,139551,579296,916,[WLQ;NNQ]
LLH,50097,96373,414908,585,[NNQ;WGG;FQB;RMC;YLW;HDS]
UDM,82389,199881,800601,1405,[HDS;EVJ;RNF;SAG;BWI]
JXI,42249,76117,335173,438,[BWI;XOQ;YBU;CGU]
FIV,27523,43282,200334,217,[CGU;GOZ]
OAZ,59815,124110,521229,795,[GBU;GOZ;XUO;OOB;QLC]
CVW,19674,28537,136340,130,[RZD;QLC;DPO]
MNA,51967,101482,434714,623,[DPO;MAV;UIR;RKH;EUS;AUX]
MZE,54807,109450,465391,683,[AUX;TMY;QOQ;HCA;DSJ]
WSJ,87100,217692,864614,1554,[DSJ;RJI]
FKO,29392,47076,216381,241,[NIW;RJI]
UEK,79251,188399,759055,1310,[RJI;GHA;KJP]
PPX,64526,138613,575790,909,[ELM;KJP;QZI]
ZHB,96818,256617,1002899,1885,[QZI;TWY;BDU;EBK;JKS;OJG]
URO,82092,198781,796630,1396,[OJG;AIC;DKT;ZID;BFR]
EJT,24385,37157,174092,180,[BFR;PFO;FNE;JFN;ECH]
NBY,56677,114833,485980,724,[ECH;ANT]
JMK,41951,75387,332255,433,[REO;ANT]
SEP,74244,170713,694575,1166,[ANT;WHW;HCG]
XGG,91810,236191,930589,1710,[YSN;HCG;RRP]
CJY,19377,28016,134026,127,[FTF;RRP;YKZ;CNS;XGD]
MBD,51669,100661,431539,617,[XGD;ZWL;IZN;SSI;DMR;PJU]
VTH,83962,205751,821754,1454,[PJU;LXK;BJX]
AVZ,11529,15261,75721,60,[BJX;CGC;YNU;KFT]
FYQ,29095,46466,213810,238,[CVJ;KFT;SMN;HVW;TEQ]
OQV,61388,128876,539227,832,[TEQ;SFO;RBE;NBV]
DKR,21247,31338,148726,146,[NBV;IFM;CBI;SSN]
YVE,96521,255383,998547,1874,[SSN;GIQ]
INI,38813,67853,301989,380,[GIQ;YNY;UAT;RXV]
NPA,56380,113970,482689,717,[BIM]
WIF,88672,223790,886416,1606,[RXV;CUW]
GMN,33806,56466,255507,303,[HIO;CUW;MEG;FLT;ZEE]
QFS,66098,143607,594437,948,[ZEE;UBF;PIG;VQE]
ZXX,98391,263193,1026069,1941,[HAQ;VQE;DCU;JTA;TAT]
VHK,83665,204636,817742,1445,[WQN;TAT;RKU]
EZO,25957,40187,187130,198,[RKU;QHL;TDL;LIM;UUD;HDJ]
AKB,11231,14815,73616,58,[HDJ;LHJ;DXP;GKL;CMD]
JCG,43524,79278,347755,460,[CMD;KHR]
OEX,61090,127968,535802,825,[HGD;KHR]
YWC,93383,242522,953060,1764,[KHR;FKF;OZB]
DZT,20950,30803,146370,142,[BUV;OZB;ZXD]
MRY,53242,105028,448398,649,[LED;ZXD;GBN;AYO;YAP]
RTP,70809,159031,651628,1071,[YAP;UHL;ZHK;ZCW]
WWH,88375,222632,882280,1596,[ZCW;QRZ]
FOM,30668,49728,227513,258,[QRZ;OIO;SAL;HPB;ZWY;AUG]
PGQ,62960,133716,557435,870,[AUG;PMK;TCW;IIP;GPA]
LQD,48234,91392,395486,548,[GPA;DZH;PJS;PQE]
QTU,65801,142658,590897,940,[PWO]
ZLZ,98093,261942,1021666,1930,[XDX]
IDE,40386,71591,317050,406,[PQE;HVO]
SIN,75519,175143,710783,1202,[TNP;HVO;VZJ;JFN;YWR]
CAR,17812,25320,121962,112,[YWR;VYI;CPN;XZW]
HCJ,35378,59957,269861,326,[XZW;PEP]
QVO,67671,148680,613313,988,[PEP;GBJ;ANN]
KSB,45096,83245,363467,489,[ANN;LBA;OXW;VLH]
FCO,30371,49106,224908,254,[TCF]
PUT,62663,132796,553978,863,[SBA]
YMX,94955,248928,975740,1819,[JUW]
UXK,80230,191947,771919,1340,[VLH;SUO]
DPP,22522,33665,158927,159,[JVH;SUO;BCM;UGB;ZIQ]
SJL,72381,164332,671154,1114,[ZIQ;DQA;LYH;AFM]
NUY,57655,117691,496872,746,[SEU]
XMC,89948,228795,904270,1648,[TQB]
GEH,32240,53065,241428,280,[AFM;UEI]
LGY,49807,95590,411864,579,[RAC;UEI;YXH]
QJQ,67373,147714,609722,981,[YXH;GXV;BOO]
ZBV,99666,268581,1045015,1987,[BOO;USR;TCI;NBV;DUN;ZGW]
EDM,27233,42703,197872,214,[ZGW;VUC;UZL;AHL;HAQ]
KGD,44799,82489,360481,483,[LJF]
TYI,77092,180677,730976,1247,[ADA]
YAA,94658,247711,971438,1808,[HAQ;CTT]
DDR,22225,33119,156538,156,[AJT;CTT;XEJ]
MVW,54517,108625,462226,677,[XEJ;QYO;FFX;LOL;OWF;IOF]
WNA,86810,216575,860616,1545,[IOF;ZCC;NPD;SLE;REJ]
RXN,72084,163324,667448,1106,[REJ;TQO;MXR;IHK;YFM;DDX]
BPS,14376,19667,96240,82,[DDX;MAB;LHJ;DEK;CMH]
KIX,46669,87290,379407,518,[CGT;CMH;BPW;XMJ]
GSJ,31943,52429,238782,276,[XMJ;BJC;RUG;SXU;LDE;PAY]
EFK,24095,36606,171711,177,[TLO;PAY;HQM;CDF]
ZPX,99369,267321,1040588,1976,[CDF;PGR;DBE;FFR;ATU]
JHC,41661,74677,329421,428,[JFY;ATU;OKY;AAL]
SZG,73954,169712,690908,1158,[AAL;VED;XPJ;ZXI;SMQ;JYA]
OKT,59228,122351,514568,782,[JOU;JYA;WUQ;MSM]
XCY,91520,235032,926470,1701,[WFH;MSM]
CEP,19087,27511,131774,124,[MSM;ROY;OVD]
LWU,51379,99864,428454,611,[UIG;OVD;LQK]
HHH,36654,62847,281672,346,[LQK;SBV;UFB;CIZ]
RZL,68946,152849,628776,1022,[VNA;CIZ;CIB;LHS;HZX]
WBD,86513,215435,856529,1535,[HZX;GHU;KTH;MHZ]
FTH,28805,45872,211307,234,[MHZ;OCN]
BEU,14079,19196,94066,79,[QMH;OCN;MXX]
KWZ,46372,86520,376380,512,[GQT;MXX]
TOE,78664,186285,751379,1293,[MXX;BQD;LRB]
YQV,96231,254182,994306,1864,[LRB;HBQ;XNL;VRR;KNT;ORX]
NLR,56090,113131,479483,711,[RMJ;ORX;VGW;XJR]
SNJ,73656,168688,687151,1149,[XJR;DZZ;TCC;WRY;YQJ;GZF]
XQA,91223,233848,922258,1691,[AAE;GZF;SHJ;EMG]
GIF,33516,55831,252883,298,[EMG;MOA;FMH;TBG;NDD;YXN]
QAJ,65808,142680,590980,941,[YXN;KXI;CNM;DAC;VOF]
VCB,83375,203550,813833,1436,[ATG;VOF;LOL]
QNN,68649,151873,625161,1014,[LOL;FVQ;ZCN;MKP;UFQ;FRE]
AFS,10941,14383,71574,56,[YLM;FRE;BPS;VNV]
JXX,43234,78555,344880,455,[VNV;IHE;DWS;NVZ;GIJ;MXZ]
YST,93093,241349,948900,1754,[AZT;MXZ;MCG]
TCG,78367,185219,747507,1284,[MCG;CSD;BID;LUF;AIT;QTS]
YEX,95934,252954,989971,1853,[QTS;OHV;JTX;UWS;KSV]
IXC,38226,66478,296424,370,[IIH]
RPH,70519,158061,648050,1063,[KSV;SVS]
WRY,88085,221504,878249,1586,[VZJ;SVS;CDF]
BUQ,15652,21723,105669,93,[CDF;ZWR;PJV;UTC;OUV]
GWH,33218,55181,250196,294,[OUV;WYI]
QOM,65511,141733,587448,933,[WYI;RUS;OQB;HIO]
ZGQ,97803,260726,1017385,1920,[HIO;CQI]
VRD,83077,202439,809827,1427,[CQI;ZMS;MXL;LPH;TRZ;IXL]
EJI,25370,39046,182235,191,[IXL;LCT;VIO;CXI;JTJ]
JLZ,42937,77817,341944,450,[EST;JTJ;RRU]
SDE,75229,174131,707084,1194,[RRU;HNX;NDR;BVB]
OOR,60503,126185,529074,811,[BVB;GQR;KTH;BWC;CJN;YBR]
HYA,35088,59308,267196,322,[YBR;SXW;JYT;HNI;PXP]
CIN,20362,29752,141731,136,[PXP;RCE;LHQ;CEG;KZT]
MAS,52655,103389,442080,637,[OON]
VSW,84947,209466,835114,1485,[KZT;EJA]
RDJ,70221,157069,644384,1055,[HEC;EJA]
AVO,12514,16757,82739,67,[EJA;UWU;JPL]
PPK,62373,131899,550610,856,[JPL;OIH;DSB;ZSZ]
KAW,47647,89844,389429,537,[ZSZ;QNF]
USB,79939,190890,768089,1331,[QNF;DLD;HAR;XXH]
ZUT,97506,259484,1013007,1909,[XXH;VOA]
IMX,39799,70187,311403,396,[VOA;IFG;DZF;XBW;SBD;MPW]
NPP,57365,116841,493633,739,[MPW;PZE;SAF;MGL;PAH]
SRG,74932,173097,703302,1185,[PAH;FHC;LYT;NKP]
CKL,17224,24326,117486,106,[ENF]
LCQ,49517,94810,408828,573,[NKP;DJF]
HMC,34791,58645,264475,317,[DJF;ISO;QMO;PIM;JJB;BTW]
QEH,67083,146775,606233,973,[BTW;WUI;JEE]
MPU,52358,102564,438895,631,[JEE;AXA;OBL;HPQ]
VHZ,84650,208343,831076,1476,[WTF;HPQ;ZYT;JNT;XZZ]
JBV,44509,81754,357574,478,[XZZ;LTV;HER;LGW]
TTZ,76802,179650,727236,1239,[OIJ;LGW;YKX]
PEM,62076,130984,547168,849,[YKX;HIX;ZAY;WWH;INY;LCH]
YWR,94368,246527,967245,1798,[CAR;LCH;XEF;DOP]
UGD,79642,189813,764183,1322,[QEQ;DOP;HGN;JGD;RSQ]
DYI,21935,32587,154213,153,[RSQ;DMH;MXL;LHT]
IBA,39501,69479,308550,391,[QTR;LHT;NYX;ZSO;ELS]
WVW,89360,226483,896026,1628,[ELS;JOB;RRA;EZI]
CYN,16927,23829,115237,104,[EZI;GLQ]
LQS,49220,94014,405726,567,[GLQ;UYB;WQF;FKO]
UIX,81512,196640,788900,1379,[FKO;WOB;NRV;JTN]
JCT,41371,73971,326594,423,[QCG]
OFK,58938,121486,511288,775,[JTN;PPA]
JPX,44212,81004,354604,473,[ZMB;PPA]
THC,76504,178600,723404,1230,[PPA;HTV;THO]
CZG,18797,27008,129529,121,[VJC;THO;ELH]
HCY,36363,62184,278967,341,[ELH;DHM;LUM;QOB;JGF;ABD]
WXU,86222,214321,852536,1526,[ABD;KZT;PLX;DHI;PPR]
RHH,71497,161341,660146,1090,[PPR;SAA]
BZL,13789,18738,91950,77,[SAA;BFO;RJQ;JRT]
KRQ,46082,85771,373432,507,[JXZ;JRT;MDI;PPZ;LXN]
GCD,31356,51179,233576,268,[LXN;ZQL;KBZ;MFJ]
PUI,63648,135858,565473,887,[RIL]
UWZ,81215,195548,784953,1370,[MFJ;ACW]
DOE,23507,35498,166907,170,[BGJ;ACW;YSZ;RSO;VMU]
ZZQ,98781,264837,1031852,1955,[VMU;SEH;UTV;VOC]
IRV,41074,73250,323707,418,[VOC;LUS]
SJA,73366,167693,683499,1141,[TMV;LUS]
OTM,58641,120603,507937,768,[LUS;KVU;ONF]
XLR,90933,232694,918154,1681,[REC;ONF;DJF]
COJ,18500,26496,127238,118,[DJF;NFW;TAN;IXA;QBG;MKJ]
QIF,68359,150923,621639,1006,[MKJ;BAL;KDB;FZS;LCK]
VLW,85925,213185,848464,1516,[LCK;VKZ]
FDB,28218,44680,206265,226,[VKZ;GTP;MIH;KGR]
KFS,45784,85005,370412,501,[UWS]
PIK,63351,134932,561998,880,[KGR;EEP]
YAP,95643,251755,985734,1843,[RTP;EEP;OEO;UYA;ZLR]
IST,37936,65802,293686,366,[ZLR;VLC;ZPL]
DCG,23210,34942,164492,167,[JMH;ZPL;CZQ]
NUL,55503,111440,473016,698,[CZQ;RTE;SXN;WWY;YYC;BZJ]
WMP,87795,220378,874225,1577,[BZJ;RBV;VOL;BHA;OWN]
SXC,73069,166676,679767,1133,[AHZ;OWN;KNB;MZX]
BPH,15362,21251,103514,90,[MZX;IKT;VBX;XJZ;EJK;RFK]
XZT,90636,231515,913958,1671,[RFK;XPE;EXQ;KPG]
GRY,32928,54550,247587,290,[KPG;UEK]
PKD,65221,140811,584006,926,[RWQ;UEK;SDD]
LUQ,50495,97451,419098,593,[SDD;ARI;RCN]
VMU,82787,201359,805932,1418,[ZZQ;RCN;LAD]
APM,10354,13517,67464,52,[HHD;LAD;NTE;CRD;PNX]
JHR,42646,77097,339077,445,[PNX;NMU;YXY;PDN]
OJI,60213,125309,525762,804,[KPX;PDN;PSY;KHX;XEI]
XBN,92505,238979,940492,1734,[XEI;UEL;HFC;ZHW]
TMZ,77780,183121,739878,1267,[UEA]
CEE,20072,29238,139453,134,[ZHW;PCD]
RYA,69931,156104,640821,1048,[PCD;VIA;JMG;PKZ;IOJ;SVA]
NJN,55205,110586,469747,691,[HFS;SVA;HRO;ZQL]
WBS,87498,219228,870112,1567,[ZQL;HON;HXM]
KVO,47357,89083,386448,531,[QOG;HXM;DEW]
ZQK,97216,258273,1008741,1899,[DEW;SWM;FCZ;ZOY]
UAX,82490,200255,801951,1409,[SDD;ZOY;FBR;ZVM;CCC]
ESB,24783,37916,177372,184,[CCC;UVO;VFF;KWE]
NKG,57075,115992,490402,733,[KWE;PIE]
JVT,42349,76364,336156,440,[PIE;FLF;EYW;SPF]
SNY,74642,172090,699618,1177,[SPF;GVO;JWM;SGW;XYO;FTL]
CFC,16934,23840,115290,104,[QIH;FTL;ERA;DVX]
XPP,92208,237786,936254,1724,[DVX;GTP;RSH;CZG;RER;LVU]
CSG,19775,28714,137129,131,[MPO;LVU;PWP;JKP]
MKL,52067,101759,435784,625,[JKP;HQG;VZY;ZJP;PAW;WCO]
VCQ,84360,207248,827141,1467,[WCO;IFA;MJO;DRV;PRJ]
RMC,69634,155120,637180,1040,[PRJ;DGV;GPJ;GJX]
AEH,11926,15861,78540,63,[GJX;VKU]
JXM,44219,81022,354674,473,[XFK;VKU;OGB;VGT;CIN]
FHZ,29493,47284,217256,243,[CIN;QGV;EJK;OTP]
KJQ,47060,88307,383403,525,[BFC]
UCV,79352,188764,760377,1313,[OTP;OOT]
IWR,39211,68791,305779,386,[OOT;SSL;GAE]
NZI,56778,115126,487100,726,[GAE;WCG;CLB;MFA]
WRN,89070,225346,891970,1619,[MFA;XEE]
LLJ,48929,93237,402696,562,[XEE;HRX;NZR;PAQ]
GWW,34204,57343,259120,308,[PAQ;YWO;EFZ;HHB]
QOB,66496,144883,599192,958,[HHB;MYW]
ZGF,98788,264866,1031956,1955,[MYW;ZKC;ADO;UHE]
VQS,84063,206130,823119,1457,[VBE;UHE;XDL;KWB;DTV]
EIX,26355,40966,190465,203,[DTV;CES;FTN;EXT]
ATJ,11629,15412,76430,61,[EXT;SUS]
TDT,76214,177579,719679,1222,[QLL;SUS;JWY;XUJ;BDY]
ONG,61488,129182,540380,835,[BDY;FSV;ZZZ;WYQ]
YFK,93781,244136,958780,1778,[EAE]
DIC,21347,31519,149521,147,[WYQ;ZOI]
MAH,53640,106145,452698,658,[SPK;ZOI;MTL]
RCY,71207,160365,656550,1082,[LTS;MTL]
WFP,88773,224184,887823,1609,[MTL;CWS;CCU]
GXU,31066,50565,231015,264,[CCU;RNX;ECG;WCD]
LZL,48632,92447,399609,556,[WCD;HUO;JAB;TXS;TYX;WWN]
URQ,80925,194485,781106,1361,[UPX;WWN;DUU;FOX]
ZUI,98491,263615,1027553,1945,[FOX;FEH;RRD;CYB]
NPE,58350,119741,504664,761,[WVY]
TRV,75917,176536,715872,1213,[CYB;RSD]
CJA,18209,25997,125002,115,[RSD;SDV;HOZ;GBV;VEP;TZQ]
YUN,93484,242931,954509,1768,[TZQ;JBH;NOD;FZK]
HMR,35776,60853,273529,332,[FZK;XIR]
QEW,68069,149976,618124,999,[SPZ;XIR;YNJ]
AJF,13202,17820,87691,73,[HJL;YNJ]
FLW,30768,49938,228392,260,[VBR;YNJ]
PDB,63061,134029,558612,872,[YNJ;PXX;EER]
YVG,95353,250561,981516,1833,[EER;SSG]
UGS,80628,193398,777175,1352,[SSG;XDZ;WCO;DKE;MSK;IVA]
NQC,55212,110606,469824,692,[IVA;NOJ;VUV;YQM;ZKL]
IAP,40487,71833,318024,408,[ZWD;ZKL;SWV]
SST,72779,165686,676131,1125,[SWV;QWC;LZU;FTT;EHY;OFR]
NDG,58053,118863,501329,755,[IJO;OFR;VRU;BNJ]
XVL,90346,230366,909869,1661,[DWY;BNJ;BKP;DBS;JKA]
GNQ,32638,53923,244986,286,[JKA;PWU;RVZ;MNZ]
LPH,50205,96665,416043,587,[MNZ;URT;FOZ;PAQ;KXY;FJS]
AKD,10064,13093,65444,50,[FJS;BTN;PNJ;VUN;KWV]
VUQ,85338,210949,840440,1498,[DIN]
FMU,27630,43496,201245,219,[KWV;RZL]
OEZ,59923,124435,522457,798,[GHZ;RZL;CGD]
THR,77490,182089,736120,1259,[QWN;CGD;QAQ;JBD;VEB]
YJI,95056,249341,977203,1822,[VEB;HXG;URC;XAY;ASG;HMN]
HCN,37349,64443,288166,356,[HMN;PVC]
WWJ,87208,218108,866104,1558,[PVC;QRN;PRD;YOX;XCV;XNK]
SHW,72482,164675,672415,1117,[JHW;XNK;COO;CCU]
BZA,14774,20303,99166,85,[CCU;NMI;NFQ;KSB]
KRF,47067,88326,383475,526,[KSB;PGG;QJS;UQL]
GBS,32341,53282,242329,282,[BEP]
LEJ,49908,95862,412923,581,[UQL;HDM]
UWO,82200,199180,798072,1400,[HDM;FOS;ERO]
ZYF,99767,269009,1046521,1991,[ERO;YQQ;FQC;SCW]
JQK,42059,75651,333312,435,[SCW;GBS]
OTB,59626,123542,519080,791,[GBS;CHQ;MBA;RGD]
XLG,91918,236623,932124,1714,[UDR]
CNY,19485,28205,134866,128,[IUE]
MFC,51777,100958,432689,619,[RGD;CMN]
HQP,37051,63757,285378,352,[OXH;CMN;NDK;BLO;DLA]
RIU,69344,154161,633632,1032,[DLA;VWV;POR;MQF]
WKL,86911,216964,862006,1548,[MQF;IFO;JEB;FAS;AWC;KWQ]
FCQ,29203,46687,214743,239,[KWQ;XBH;VJY;BMP;DFN]
BND,14477,19828,96981,83,[NIC;DFN;GXU;CFH]
KFH,46770,87552,380437,520,[FQW;CFH;JHK;CWM;EXC]
PHZ,64336,138016,573553,904,[EXC;EWF;OGF;PYC]
ZZD,96629,255831,1000128,1878,[BTH;PYC;UDA;EXK;HUQ]
ECV,24195,36796,172532,178,[HUQ;JPN;RGY;KYL;PZQ;YOZ]
NUA,56488,114283,483884,720,[OMR;YOZ]
SWR,74054,170058,692174,1160,[YOZ;JRP;IIY]
BPW,16347,22865,110867,99,[LPB;IIY;VRJ]
LUF,51480,100141,429527,613,[GTP;VRJ]
VMJ,83773,205041,819199,1448,[ADZ;VRJ]
AOB,11339,14976,74378,59,[LFC;VRJ]
FRS,28906,46078,212178,235,[VRJ;UVI;HVX]
OJX,61198,128297,537043,828,[HVX;QFK]
DDT,21057,30996,147219,144,[QFK;OVI;GWE;QYI;NOK;ZHL]
YOG,96331,254597,995771,1867,[CJD;ZHL;XWO]
IGK,38624,67409,300193,377,[OTE;XWO;FRY;PMT;ACS]
RYP,70916,159390,652953,1074,[UXE;ACS;VEB]
WAH,88483,223052,883782,1599,[VEB;FVZ;OQA;UJH;LEC;SEB]
GSL,30775,49953,228454,260,[SEB;LTS;ZOP;LBQ;GSX]
BDY,16050,22375,108640,96,[GSX;RKK]
GFP,33616,56050,253788,300,[RKK;UIZ;RXK]
QXU,65909,143002,592182,943,[RXK;BNR;CEK;EEI]
ZPZ,98201,262395,1023261,1934,[PHN]
VAM,83475,203925,815182,1439,[EEI;FCO]
ESQ,25768,39818,185550,196,[FCO;SHB;MSD;TVI]
JUI,43334,78804,345872,457,[TVI;APS;EST;ZGI]
OXZ,60901,127392,533632,821,[ZGI;BZS]
YPE,93194,241757,950346,1758,[BZS;FQC;ZQT;BHI]
MJA,53053,104499,446359,645,[BHI;YUW;AHM;STR;UII;UUU]
VCF,85345,210976,840536,1498,[UUU;WWB;JLD;FED;PTR]
RMR,70619,158396,649285,1066,[PTR;VTH]
FHO,30478,49330,225847,256,[TWY;VTH;IJA]
PZS,62771,133130,555233,865,[IJA;TPT;OYY;KOG;TXO;OSZ]
KJF,48045,90892,393532,544,[GAV;OSZ;AUZ]
UBK,80337,192338,773334,1343,[AUZ;PCL;DRE;GBE]
ZEB,97904,261149,1018873,1923,[OWU;GBE;PXU;JHK;NNC]
IWG,40196,71136,315220,403,[CUC;NNC;WEF]
EGS,25471,39242,183075,193,[LHE;WEF;TAB;VTB;RBZ]
XQC,90056,229220,905787,1651,[ZNM;RBZ;GPC]
SBP,75330,174482,708370,1196,[GPC;HSK;DEC]
CTT,17622,24998,120513,110,[OGB;DEC;YYW;UTK;ZNG]
HVL,35189,59533,268123,323,[ZNG;DUA]
QNQ,67481,148064,611023,983,[DUA;KRU;IMK]
MYC,52755,103668,443155,639,[XOH;IMK;XCE]
VQH,85048,209849,836488,1489,[XCE;OCS;COF;UAX;LFC;WWQ]
ASY,12614,16911,83457,68,[UTK;WWQ;BTM;IEN]
KKD,44907,82763,361566,485,[IEN;KWS;JZQ;WZS;ZAW;STQ]
PNV,62474,132211,551781,858,[UMM;STQ;XHS;AII]
YFZ,94766,248153,973000,1812,[AII;GJS;ACJ]
DHR,22333,33317,157406,157,[ACJ;EOQ;BGP;DYC]
IKI,39899,70426,312364,398,[DYC;FMN]
RCN,72192,163690,668793,1109,[FMN;IHM;NYD;IRV;CFS;DAE]
XEE,89758,228047,901604,1641,[WXA]
GWJ,32051,52660,239743,278,[DAE;MIV]
LZA,49617,95080,409875,575,[IAD]
ZUX,99477,267778,1042196,1980,[MIV;EPG]
JMB,41769,74941,330475,430,[EPG;WMW;UAW]
EWO,27043,42325,196264,212,[UAW;WMZ;BVV;KUG]
JZF,44610,82010,358585,480,[KUG;DNN]
TRK,76902,180005,728527,1242,[EOK;DNN;WQR]
CJP,19195,27699,132612,125,[WQR;UKZ;ALP]
RDL,69054,153204,630092,1024,[TFV;ALP;QOY]
MOY,54328,108088,460166,673,[QOY;MOC;CVD;ORR;WHX;JQL]
WGC,86620,215846,858003,1539,[JQL;BAK;WXJ;JNV;ALR]
RQP,71895,162684,665092,1101,[ALR;NPS;RTK;PTR]
BIU,14187,19367,94855,80,[PTR;ZGA]
KAZ,46479,86797,377471,514,[TTA;ZGA;CKG;VJO;WGC]
GLL,31754,52025,237102,273,[WGC;PET;BIP;UOW]
PDQ,64046,137104,570142,897,[DEB]
EXM,23905,36247,170156,174,[UOW;FWR]
ZIZ,99179,266517,1037764,1970,[FWR;PMB;TJJ;JXG]
JAE,41472,74217,327577,424,[JXG;VLK;QMH;SIH]
SSI,73764,169059,688512,1152,[SIH;FLN;DFK;HXK;MFE;QNT]
XUA,91331,234278,923788,1694,[QNT;BJZ;FUS;LKW;KUM]
CXR,18897,27181,130303,122,[KUM;ZNG;OYC;ZKF;TLW]
LPW,51190,99346,426447,607,[GLR]
HZI,36464,62414,279905,343,[TLW;HHL]
AJS,11049,14544,72333,57,[HHL;QXP;NCU;JVF]
FMJ,28616,45487,209680,231,[JVF;UXH;WZY;SLV;BTV;MDW]
